S-L/average12,range,A:SPY,time,time_interval
1,420.64,420.64,2022-03-11 00:33:00,
797,420.2081818181818,420.11,2022-03-12 04:58:00,1705.0
964,419.7763636363636,419.42,2022-03-14 21:38:00,3880.0
1115,419.3445454545454,419.26,2022-03-15 00:09:00,151.0
1153,418.91272727272724,418.77,2022-03-15 00:47:00,38.0
1158,418.48090909090905,418.35,2022-03-15 00:52:00,5.0
1160,418.0490909090909,417.97,2022-03-15 00:54:00,2.0
1170,417.61727272727273,417.47,2022-03-15 01:04:00,10.0
1198,417.18545454545455,417.16,2022-03-15 01:32:00,28.0
1202,416.75363636363636,416.54,2022-03-15 01:36:00,4.0
1206,416.3218181818182,416.32,2022-03-15 01:40:00,4.0
1255,415.89,415.89,2022-03-15 02:29:00,49.0
S-L/average12,range,B:QQQ,time,time_interval
1,326.95,326.95,2022-03-11 00:33:00,
769,326.1036363636363,325.86,2022-03-12 04:30:00,1677.0
789,325.2572727272727,324.95,2022-03-12 04:50:00,20.0
797,324.41090909090906,324.39,2022-03-12 04:58:00,8.0
869,323.56454545454545,322.83,2022-03-14 19:46:00,3768.0
877,322.7181818181818,322.55,2022-03-14 19:56:00,10.0
1089,321.8718181818182,321.76,2022-03-14 23:43:00,227.0
1110,321.0254545454545,320.89,2022-03-15 00:04:00,21.0
1153,320.1790909090909,319.9,2022-03-15 00:47:00,43.0
1159,319.33272727272725,319.15,2022-03-15 00:53:00,6.0
1170,318.48636363636365,318.43,2022-03-15 01:04:00,11.0
1322,317.64,317.64,2022-03-15 03:36:00,152.0
H-L/average12,range,A:SPY,time,time_interval
315,431.5,431.5,2022-03-11 20:13:00,
337,430.0809090909091,429.94,2022-03-11 20:56:00,43.0
390,428.6618181818182,428.61,2022-03-11 22:08:00,72.0
433,427.2427272727273,427.24,2022-03-11 22:54:00,46.0
439,425.82363636363635,425.79,2022-03-11 23:00:00,6.0
531,424.4045454545454,424.27,2022-03-12 00:32:00,92.0
732,422.98545454545456,422.73,2022-03-12 03:53:00,201.0
770,421.56636363636363,421.56,2022-03-12 04:31:00,38.0
797,420.1472727272727,420.11,2022-03-12 04:58:00,27.0
