,time,A:SPY,B:QQQ
1,2022/3/11 0:33,420.64,326.95
2,2022/3/11 0:34,420.81,327.01
3,2022/3/11 0:35,420.59,326.89
4,2022/3/11 0:36,420.65,326.98
5,2022/3/11 0:37,420.83,327.24
6,2022/3/11 0:38,420.82,327.3
7,2022/3/11 0:39,420.61,327.24
8,2022/3/11 0:40,420.805,327.49
9,2022/3/11 0:41,420.66,327.22
10,2022/3/11 0:42,420.81,327.32
11,2022/3/11 0:43,420.79,327.29
12,2022/3/11 0:44,421.27,327.7
13,2022/3/11 0:45,421.07,327.51
14,2022/3/11 0:46,421.02,327.38
15,2022/3/11 0:47,420.91,327.29
16,2022/3/11 0:48,421.13,327.51
17,2022/3/11 0:49,421.16,327.58
18,2022/3/11 0:50,421.19,327.76
19,2022/3/11 0:51,421.34,327.92
20,2022/3/11 0:52,421.7,328.13
21,2022/3/11 0:53,421.9,328.3
22,2022/3/11 0:54,421.7,328.16
23,2022/3/11 0:55,421.52,327.9
24,2022/3/11 0:56,421.54,327.89
25,2022/3/11 0:57,421.59,327.95
26,2022/3/11 0:58,421.69,328.12
27,2022/3/11 0:59,421.9,328.33
28,2022/3/11 1:00,421.85,328.22
29,2022/3/11 1:01,422.19,328.56
30,2022/3/11 1:02,422.16,328.5
31,2022/3/11 1:03,421.95,328.25
32,2022/3/11 1:04,422.09,328.35
33,2022/3/11 1:05,422.29,328.57
34,2022/3/11 1:06,422.19,328.48
35,2022/3/11 1:07,421.96,328.14
36,2022/3/11 1:08,421.77,327.95
37,2022/3/11 1:09,421.82,327.92
38,2022/3/11 1:10,421.83,327.86
39,2022/3/11 1:11,421.74,327.82
40,2022/3/11 1:12,421.93,328.05
41,2022/3/11 1:13,421.87,328
42,2022/3/11 1:14,422.05,328.23
43,2022/3/11 1:15,422.16,328.35
44,2022/3/11 1:16,422.15,328.23
45,2022/3/11 1:17,421.94,328.12
46,2022/3/11 1:18,422.07,328.24
47,2022/3/11 1:19,422.14,328.35
48,2022/3/11 1:20,422.07,328.27
49,2022/3/11 1:21,422.55,328.99
50,2022/3/11 1:22,422.81,329.15
51,2022/3/11 1:23,423.015,329.35
52,2022/3/11 1:24,423.06,329.37
53,2022/3/11 1:25,422.9,329.18
54,2022/3/11 1:26,422.87,329.12
55,2022/3/11 1:27,422.89,329.06
56,2022/3/11 1:28,422.79,328.88
57,2022/3/11 1:29,422.86,328.95
58,2022/3/11 1:30,422.77,328.87
59,2022/3/11 1:31,422.71,328.83
60,2022/3/11 1:32,422.54,328.59
61,2022/3/11 1:33,422.39,328.57
62,2022/3/11 1:34,422.36,328.49
63,2022/3/11 1:35,422.07,328.19
64,2022/3/11 1:36,421.84,327.9
65,2022/3/11 1:37,421.96,328.03
66,2022/3/11 1:38,421.86,327.92
67,2022/3/11 1:39,421.79,327.85
68,2022/3/11 1:40,421.78,327.89
69,2022/3/11 1:41,421.61,327.78
70,2022/3/11 1:42,421.63,327.82
71,2022/3/11 1:43,421.51,327.75
72,2022/3/11 1:44,421.62,327.89
73,2022/3/11 1:45,421.59,327.83
74,2022/3/11 1:46,421.68,327.94
75,2022/3/11 1:47,421.75,328.07
76,2022/3/11 1:48,421.67,328.01
77,2022/3/11 1:49,421.85,328.18
78,2022/3/11 1:50,421.72,328.08
79,2022/3/11 1:51,421.63,327.86
80,2022/3/11 1:52,421.42,327.66
81,2022/3/11 1:53,421.31,327.51
82,2022/3/11 1:54,421.32,327.49
83,2022/3/11 1:55,421.41,327.51
84,2022/3/11 1:56,421.54,327.67
85,2022/3/11 1:57,421.48,327.63
86,2022/3/11 1:58,421.55,327.62
87,2022/3/11 1:59,421.46,327.51
88,2022/3/11 2:00,421.43,327.5
89,2022/3/11 2:01,421.52,327.62
90,2022/3/11 2:02,421.74,328.04
91,2022/3/11 2:03,421.41,327.64
92,2022/3/11 2:04,421.14,327.37
93,2022/3/11 2:05,421.3,327.55
94,2022/3/11 2:06,421.54,327.83
95,2022/3/11 2:07,421.51,327.79
96,2022/3/11 2:08,421.48,327.66
97,2022/3/11 2:09,421.53,327.56
98,2022/3/11 2:10,421.81,327.83
99,2022/3/11 2:11,421.9,327.87
100,2022/3/11 2:12,422.05,328.04
101,2022/3/11 2:13,421.92,327.95
102,2022/3/11 2:14,421.74,327.74
103,2022/3/11 2:15,421.72,327.68
104,2022/3/11 2:16,421.9,327.84
105,2022/3/11 2:17,422.05,327.99
106,2022/3/11 2:18,422.19,328.17
107,2022/3/11 2:19,422.48,328.51
108,2022/3/11 2:20,422.57,328.51
109,2022/3/11 2:21,422.19,328.17
110,2022/3/11 2:22,422.305,328.36
111,2022/3/11 2:23,422.25,328.27
112,2022/3/11 2:24,422.3,328.4
113,2022/3/11 2:25,422,328.1
114,2022/3/11 2:26,422.06,328.21
115,2022/3/11 2:27,422.31,328.39
116,2022/3/11 2:28,422.4,328.56
117,2022/3/11 2:29,422.38,328.575
118,2022/3/11 2:30,422.48,328.72
119,2022/3/11 2:31,422.35,328.7
120,2022/3/11 2:32,422.28,328.49
121,2022/3/11 2:33,422.31,328.52
122,2022/3/11 2:34,422.69,328.98
123,2022/3/11 2:35,422.81,329.18
124,2022/3/11 2:36,422.85,329.14
125,2022/3/11 2:37,422.59,328.98
126,2022/3/11 2:38,422.5,328.77
127,2022/3/11 2:39,422.43,328.85
128,2022/3/11 2:40,422.5,328.81
129,2022/3/11 2:41,422.34,328.54
130,2022/3/11 2:42,422.32,328.47
131,2022/3/11 2:43,422.42,328.58
132,2022/3/11 2:44,422.42,328.54
133,2022/3/11 2:45,422.83,329
134,2022/3/11 2:46,422.97,329.19
135,2022/3/11 2:47,423.22,329.55
136,2022/3/11 2:48,423.21,329.37
137,2022/3/11 2:49,423.7,329.94
138,2022/3/11 2:50,423.52,329.85
139,2022/3/11 2:51,423.68,330.02
140,2022/3/11 2:52,423.43,329.88
141,2022/3/11 2:53,423.36,329.78
142,2022/3/11 2:54,423.46,329.89
143,2022/3/11 2:55,423.4,329.81
144,2022/3/11 2:56,423.32,329.71
