,time,A:SPY,range,relative,time_interval
0,2022/3/11 0:33,420.64,420.64,1646929980.0,
796,2022/3/12 4:58,420.11,420.2081818181818,1647032280.0,1705.0
963,2022/3/14 21:38,419.42,419.7763636363636,1647265080.0,3880.0
1114,2022/3/15 0:09,419.26,419.3445454545454,1647274140.0,151.0
1152,2022/3/15 0:47,418.77,418.91272727272724,1647276420.0,38.0
1157,2022/3/15 0:52,418.35,418.48090909090905,1647276720.0,5.0
1159,2022/3/15 0:54,417.97,418.0490909090909,1647276840.0,2.0
1169,2022/3/15 1:04,417.47,417.61727272727273,1647277440.0,10.0
1197,2022/3/15 1:32,417.16,417.18545454545455,1647279120.0,28.0
1201,2022/3/15 1:36,416.54,416.75363636363636,1647279360.0,4.0
1205,2022/3/15 1:40,416.32,416.3218181818182,1647279600.0,4.0
1254,2022/3/15 2:29,415.89,415.89,1647282540.0,49.0
,time,B:QQQ,range,relative,time_interval
0,2022/3/11 0:33,326.95,326.95,1646929980.0,
768,2022/3/12 4:30,325.86,326.1036363636363,1647030600.0,1677.0
788,2022/3/12 4:50,324.95,325.2572727272727,1647031800.0,20.0
796,2022/3/12 4:58,324.39,324.41090909090906,1647032280.0,8.0
868,2022/3/14 19:46,322.83,323.56454545454545,1647258360.0,3768.0
876,2022/3/14 19:56,322.55,322.7181818181818,1647258960.0,10.0
1088,2022/3/14 23:43,321.76,321.8718181818182,1647272580.0,227.0
1109,2022/3/15 0:04,320.89,321.0254545454545,1647273840.0,21.0
1152,2022/3/15 0:47,319.9,320.1790909090909,1647276420.0,43.0
1158,2022/3/15 0:53,319.15,319.33272727272725,1647276780.0,6.0
1169,2022/3/15 1:04,318.43,318.48636363636365,1647277440.0,11.0
1321,2022/3/15 3:36,317.64,317.64,1647286560.0,152.0
,time,A:SPY,range,relative,time_interval
314,2022/3/11 20:13,431.5,431.5,1647000780.0,
336,2022/3/11 20:56,429.94,430.0809090909091,1647003360.0,43.0
389,2022/3/11 22:08,428.61,428.6618181818182,1647007680.0,72.0
432,2022/3/11 22:54,427.24,427.2427272727273,1647010440.0,46.0
438,2022/3/11 23:00,425.79,425.82363636363635,1647010800.0,6.0
530,2022/3/12 0:32,424.27,424.4045454545454,1647016320.0,92.0
731,2022/3/12 3:53,422.73,422.98545454545456,1647028380.0,201.0
769,2022/3/12 4:31,421.56,421.56636363636363,1647030660.0,38.0
796,2022/3/12 4:58,420.11,420.1472727272727,1647032280.0,27.0
1157,2022/3/15 0:52,418.35,418.7281818181818,1647276720.0,4074.0
1197,2022/3/15 1:32,417.16,417.3090909090909,1647279120.0,40.0
1254,2022/3/15 2:29,415.89,415.89,1647282540.0,57.0
,time,B:QQQ,range,relative,time_interval
328,2022/3/11 20:40,337.02,337.02,1647002400.0,
347,2022/3/11 21:13,335.11,335.2581818181818,1647004380.0,33.0
410,2022/3/11 22:32,333.49,333.49636363636364,1647009120.0,79.0
432,2022/3/11 22:54,331.67,331.7345454545454,1647010440.0,22.0
447,2022/3/11 23:09,329.86,329.97272727272724,1647011340.0,15.0
529,2022/3/12 0:31,328.11,328.21090909090907,1647016260.0,82.0
764,2022/3/12 4:26,326.39,326.4490909090909,1647030360.0,235.0
792,2022/3/12 4:54,324.53,324.6872727272727,1647032040.0,28.0
868,2022/3/14 19:46,322.83,322.92545454545456,1647258360.0,3772.0
1108,2022/3/15 0:03,321.08,321.16363636363633,1647273780.0,257.0
1158,2022/3/15 0:53,319.15,319.40181818181816,1647276780.0,50.0
1321,2022/3/15 3:36,317.64,317.64,1647286560.0,163.0
,time,A:SPY,range,relative,time_interval
314,2022/3/11 20:13,431.5,431.5,1647000780.0,
320,2022/3/11 20:26,430.81,430.9418181818182,1647001560.0,13.0
335,2022/3/11 20:54,430.27,430.38363636363636,1647003240.0,28.0
341,2022/3/11 21:05,429.8,429.82545454545453,1647003900.0,11.0
352,2022/3/11 21:18,429.26,429.2672727272727,1647004680.0,13.0
389,2022/3/11 22:08,428.61,428.7090909090909,1647007680.0,50.0
407,2022/3/11 22:29,428.13,428.1509090909091,1647008940.0,21.0
418,2022/3/11 22:40,427.4,427.5927272727273,1647009600.0,11.0
433,2022/3/11 22:55,426.95,427.0345454545455,1647010500.0,15.0
438,2022/3/11 23:00,425.79,426.47636363636366,1647010800.0,5.0
438,2022/3/11 23:00,425.79,425.91818181818184,1647010800.0,0.0
447,2022/3/11 23:09,425.03,425.36,1647011340.0,9.0
,time,B:QQQ,range,relative,time_interval
328,2022/3/11 20:40,337.02,337.02,1647002400.0,
335,2022/3/11 20:54,336.12,336.1818181818182,1647003240.0,14.0
347,2022/3/11 21:13,335.11,335.34363636363634,1647004380.0,19.0
405,2022/3/11 22:27,334.4,334.50545454545454,1647008820.0,74.0
410,2022/3/11 22:32,333.49,333.66727272727275,1647009120.0,5.0
416,2022/3/11 22:38,332.76,332.8290909090909,1647009480.0,6.0
432,2022/3/11 22:54,331.67,331.9909090909091,1647010440.0,16.0
438,2022/3/11 23:00,330.22,331.15272727272725,1647010800.0,6.0
438,2022/3/11 23:00,330.22,330.31454545454545,1647010800.0,0.0
472,2022/3/11 23:34,329.47,329.47636363636366,1647012840.0,34.0
527,2022/3/12 0:29,328.63,328.6381818181818,1647016140.0,55.0
530,2022/3/12 0:32,327.62,327.8,1647016320.0,3.0
,time,A:SPY,range,relative,time_interval
0,2022/3/11 0:33,420.64,420.64,1646929980.0,
19,2022/3/11 0:52,421.7,421.6272727272727,1646931120.0,19.0
49,2022/3/11 1:22,422.81,422.61454545454546,1646932920.0,30.0
307,2022/3/11 20:00,431.23,423.60181818181815,1647000000.0,1118.0
307,2022/3/11 20:00,431.23,424.5890909090909,1647000000.0,0.0
307,2022/3/11 20:00,431.23,425.5763636363636,1647000000.0,0.0
307,2022/3/11 20:00,431.23,426.56363636363636,1647000000.0,0.0
307,2022/3/11 20:00,431.23,427.5509090909091,1647000000.0,0.0
307,2022/3/11 20:00,431.23,428.53818181818184,1647000000.0,0.0
307,2022/3/11 20:00,431.23,429.5254545454545,1647000000.0,0.0
307,2022/3/11 20:00,431.23,430.51272727272726,1647000000.0,0.0
314,2022/3/11 20:13,431.5,431.5,1647000780.0,13.0
,time,B:QQQ,range,relative,time_interval
0,2022/3/11 0:33,326.95,326.95,1646929980.0,
18,2022/3/11 0:51,327.92,327.86545454545455,1646931060.0,18.0
48,2022/3/11 1:21,328.99,328.78090909090906,1646932860.0,30.0
307,2022/3/11 20:00,336.63,329.6963636363636,1647000000.0,1119.0
307,2022/3/11 20:00,336.63,330.6118181818182,1647000000.0,0.0
307,2022/3/11 20:00,336.63,331.5272727272727,1647000000.0,0.0
307,2022/3/11 20:00,336.63,332.44272727272727,1647000000.0,0.0
307,2022/3/11 20:00,336.63,333.3581818181818,1647000000.0,0.0
307,2022/3/11 20:00,336.63,334.27363636363634,1647000000.0,0.0
307,2022/3/11 20:00,336.63,335.1890909090909,1647000000.0,0.0
307,2022/3/11 20:00,336.63,336.1045454545454,1647000000.0,0.0
328,2022/3/11 20:40,337.02,337.02,1647002400.0,40.0
,time,A:SPY,range,relative,time_interval
1414,2022/3/15 19:00,417.52,415.89,1647342000.0,
1414,2022/3/15 19:00,417.52,416.7509090909091,1647342000.0,0.0
1416,2022/3/15 19:05,417.65,417.6118181818182,1647342300.0,5.0
1478,2022/3/15 20:30,419.1,418.47272727272724,1647347400.0,85.0
1480,2022/3/15 20:32,419.35,419.33363636363634,1647347520.0,2.0
1536,2022/3/15 21:30,420.3,420.19454545454545,1647351000.0,58.0
1538,2022/3/15 21:32,421.19,421.05545454545455,1647351120.0,2.0
1596,2022/3/15 22:30,421.94,421.91636363636366,1647354600.0,58.0
1654,2022/3/15 23:28,422.97,422.77727272727276,1647358080.0,58.0
1661,2022/3/15 23:35,423.73,423.6381818181818,1647358500.0,7.0
1865,2022/3/16 2:59,424.64,424.4990909090909,1647370740.0,204.0
1883,2022/3/16 3:17,425.5,425.36,1647371820.0,18.0
,time,B:QQQ,range,relative,time_interval
1414,2022/3/15 19:00,319.18,317.64,1647342000.0,
1414,2022/3/15 19:00,319.18,318.56363636363636,1647342000.0,0.0
1417,2022/3/15 19:06,319.55,319.48727272727274,1647342360.0,6.0
1478,2022/3/15 20:30,320.66,320.41090909090906,1647347400.0,84.0
1517,2022/3/15 21:11,321.39,321.33454545454543,1647349860.0,41.0
1570,2022/3/15 22:04,322.42,322.2581818181818,1647353040.0,53.0
1595,2022/3/15 22:29,323.45,323.1818181818182,1647354540.0,25.0
1597,2022/3/15 22:31,324.24,324.10545454545456,1647354660.0,2.0
1644,2022/3/15 23:18,325.08,325.02909090909094,1647357480.0,47.0
1657,2022/3/15 23:31,326.12,325.95272727272726,1647358260.0,13.0
1882,2022/3/16 3:16,327.02,326.87636363636364,1647371760.0,225.0
1891,2022/3/16 3:25,327.8,327.8,1647372300.0,9.0
,time,A:SPY,range,relative,time_interval
0,2022/3/11 0:33,420.64,420.64,1646929980.0,
963,2022/3/14 21:38,419.42,419.4525,1647265080.0,5585.0
1158,2022/3/15 0:53,418.09,418.265,1647276780.0,195.0
1198,2022/3/15 1:33,416.86,417.0775,1647279180.0,40.0
1254,2022/3/15 2:29,415.89,415.89,1647282540.0,56.0
,time,B:QQQ,range,relative,time_interval
0,2022/3/11 0:33,326.95,326.95,1646929980.0,
792,2022/3/12 4:54,324.53,324.6225,1647032040.0,1701.0
963,2022/3/14 21:38,322.23,322.29499999999996,1647265080.0,3884.0
1152,2022/3/15 0:47,319.9,319.9675,1647276420.0,189.0
1321,2022/3/15 3:36,317.64,317.64,1647286560.0,169.0
,time,A:SPY,range,relative,time_interval
314,2022/3/11 20:13,431.5,431.5,1647000780.0,
418,2022/3/11 22:40,427.4,427.59749999999997,1647009600.0,147.0
567,2022/3/12 1:09,423.62,423.695,1647018540.0,149.0
963,2022/3/14 21:38,419.42,419.7925,1647265080.0,4109.0
1254,2022/3/15 2:29,415.89,415.89,1647282540.0,291.0
,time,B:QQQ,range,relative,time_interval
328,2022/3/11 20:40,337.02,337.02,1647002400.0,
431,2022/3/11 22:53,332.17,332.17499999999995,1647010380.0,133.0
587,2022/3/12 1:29,327.3,327.33,1647019740.0,156.0
960,2022/3/14 21:35,322.44,322.485,1647264900.0,4086.0
1321,2022/3/15 3:36,317.64,317.64,1647286560.0,361.0
,time,A:SPY,range,relative,time_interval
314,2022/3/11 20:13,431.5,431.5,1647000780.0,
336,2022/3/11 20:56,429.94,429.96500000000003,1647003360.0,43.0
406,2022/3/11 22:28,428.415,428.43,1647008880.0,92.0
434,2022/3/11 22:56,426.81,426.895,1647010560.0,28.0
447,2022/3/11 23:09,425.03,425.36,1647011340.0,13.0
,time,B:QQQ,range,relative,time_interval
328,2022/3/11 20:40,337.02,337.02,1647002400.0,
394,2022/3/11 22:13,334.52,334.715,1647007980.0,93.0
417,2022/3/11 22:39,332.3,332.40999999999997,1647009540.0,26.0
447,2022/3/11 23:09,329.86,330.105,1647011340.0,30.0
530,2022/3/12 0:32,327.62,327.8,1647016320.0,83.0
,time,A:SPY,range,relative,time_interval
0,2022/3/11 0:33,420.64,420.64,1646929980.0,
307,2022/3/11 20:00,431.23,423.355,1647000000.0,1167.0
307,2022/3/11 20:00,431.23,426.07,1647000000.0,0.0
307,2022/3/11 20:00,431.23,428.78499999999997,1647000000.0,0.0
314,2022/3/11 20:13,431.5,431.5,1647000780.0,13.0
,time,B:QQQ,range,relative,time_interval
0,2022/3/11 0:33,326.95,326.95,1646929980.0,
307,2022/3/11 20:00,336.63,329.4675,1647000000.0,1167.0
307,2022/3/11 20:00,336.63,331.985,1647000000.0,0.0
307,2022/3/11 20:00,336.63,334.5025,1647000000.0,0.0
328,2022/3/11 20:40,337.02,337.02,1647002400.0,40.0
,time,A:SPY,range,relative,time_interval
1414,2022/3/15 19:00,417.52,415.89,1647342000.0,
1423,2022/3/15 19:15,418.37,418.2575,1647342900.0,15.0
1538,2022/3/15 21:32,421.19,420.625,1647351120.0,137.0
1655,2022/3/15 23:29,423.17,422.9925,1647358140.0,117.0
1883,2022/3/16 3:17,425.5,425.36,1647371820.0,228.0
,time,B:QQQ,range,relative,time_interval
1414,2022/3/15 19:00,319.18,317.64,1647342000.0,
1478,2022/3/15 20:30,320.66,320.18,1647347400.0,90.0
1590,2022/3/15 22:24,322.85,322.72,1647354240.0,114.0
1652,2022/3/15 23:26,325.34,325.26,1647357960.0,62.0
1891,2022/3/16 3:25,327.8,327.8,1647372300.0,239.0
,time,A:SPY,range,relative,time_interval
0,2022/3/11 0:33,420.64,420.64,1646929980.0,
963,2022/3/14 21:38,419.42,419.4525,1647265080.0,5585.0
1158,2022/3/15 0:53,418.09,418.265,1647276780.0,195.0
1198,2022/3/15 1:33,416.86,417.0775,1647279180.0,40.0
1254,2022/3/15 2:29,415.89,415.89,1647282540.0,56.0
,time,B:QQQ,range,relative,time_interval
0,2022/3/11 0:33,326.95,326.95,1646929980.0,
792,2022/3/12 4:54,324.53,324.6225,1647032040.0,1701.0
963,2022/3/14 21:38,322.23,322.29499999999996,1647265080.0,3884.0
1152,2022/3/15 0:47,319.9,319.9675,1647276420.0,189.0
1321,2022/3/15 3:36,317.64,317.64,1647286560.0,169.0
,time,A:SPY,range,relative,time_interval
314,2022/3/11 20:13,431.5,431.5,1647000780.0,
418,2022/3/11 22:40,427.4,427.59749999999997,1647009600.0,147.0
567,2022/3/12 1:09,423.62,423.695,1647018540.0,149.0
963,2022/3/14 21:38,419.42,419.7925,1647265080.0,4109.0
1254,2022/3/15 2:29,415.89,415.89,1647282540.0,291.0
,time,B:QQQ,range,relative,time_interval
328,2022/3/11 20:40,337.02,337.02,1647002400.0,
431,2022/3/11 22:53,332.17,332.17499999999995,1647010380.0,133.0
587,2022/3/12 1:29,327.3,327.33,1647019740.0,156.0
960,2022/3/14 21:35,322.44,322.485,1647264900.0,4086.0
1321,2022/3/15 3:36,317.64,317.64,1647286560.0,361.0
,time,A:SPY,range,relative,time_interval
314,2022/3/11 20:13,431.5,431.5,1647000780.0,
336,2022/3/11 20:56,429.94,429.96500000000003,1647003360.0,43.0
406,2022/3/11 22:28,428.415,428.43,1647008880.0,92.0
434,2022/3/11 22:56,426.81,426.895,1647010560.0,28.0
447,2022/3/11 23:09,425.03,425.36,1647011340.0,13.0
,time,B:QQQ,range,relative,time_interval
328,2022/3/11 20:40,337.02,337.02,1647002400.0,
394,2022/3/11 22:13,334.52,334.715,1647007980.0,93.0
417,2022/3/11 22:39,332.3,332.40999999999997,1647009540.0,26.0
447,2022/3/11 23:09,329.86,330.105,1647011340.0,30.0
530,2022/3/12 0:32,327.62,327.8,1647016320.0,83.0
,time,A:SPY,range,relative,time_interval
0,2022/3/11 0:33,420.64,420.64,1646929980.0,
307,2022/3/11 20:00,431.23,423.355,1647000000.0,1167.0
307,2022/3/11 20:00,431.23,426.07,1647000000.0,0.0
307,2022/3/11 20:00,431.23,428.78499999999997,1647000000.0,0.0
314,2022/3/11 20:13,431.5,431.5,1647000780.0,13.0
,time,B:QQQ,range,relative,time_interval
0,2022/3/11 0:33,326.95,326.95,1646929980.0,
307,2022/3/11 20:00,336.63,329.4675,1647000000.0,1167.0
307,2022/3/11 20:00,336.63,331.985,1647000000.0,0.0
307,2022/3/11 20:00,336.63,334.5025,1647000000.0,0.0
328,2022/3/11 20:40,337.02,337.02,1647002400.0,40.0
,time,A:SPY,range,relative,time_interval
1414,2022/3/15 19:00,417.52,415.89,1647342000.0,
1423,2022/3/15 19:15,418.37,418.2575,1647342900.0,15.0
1538,2022/3/15 21:32,421.19,420.625,1647351120.0,137.0
1655,2022/3/15 23:29,423.17,422.9925,1647358140.0,117.0
1883,2022/3/16 3:17,425.5,425.36,1647371820.0,228.0
,time,B:QQQ,range,relative,time_interval
1414,2022/3/15 19:00,319.18,317.64,1647342000.0,
1478,2022/3/15 20:30,320.66,320.18,1647347400.0,90.0
1590,2022/3/15 22:24,322.85,322.72,1647354240.0,114.0
1652,2022/3/15 23:26,325.34,325.26,1647357960.0,62.0
1891,2022/3/16 3:25,327.8,327.8,1647372300.0,239.0
,time,A:SPY,range,relative,time_interval
0,2022/3/11 0:33,420.64,420.64,1646929980.0,
963,2022/3/14 21:38,419.42,419.4525,1647265080.0,5585.0
1158,2022/3/15 0:53,418.09,418.265,1647276780.0,195.0
1198,2022/3/15 1:33,416.86,417.0775,1647279180.0,40.0
1254,2022/3/15 2:29,415.89,415.89,1647282540.0,56.0
,time,B:QQQ,range,relative,time_interval
0,2022/3/11 0:33,326.95,326.95,1646929980.0,
792,2022/3/12 4:54,324.53,324.6225,1647032040.0,1701.0
963,2022/3/14 21:38,322.23,322.29499999999996,1647265080.0,3884.0
1152,2022/3/15 0:47,319.9,319.9675,1647276420.0,189.0
1321,2022/3/15 3:36,317.64,317.64,1647286560.0,169.0
,time,A:SPY,range,relative,time_interval
314,2022/3/11 20:13,431.5,431.5,1647000780.0,
418,2022/3/11 22:40,427.4,427.59749999999997,1647009600.0,147.0
567,2022/3/12 1:09,423.62,423.695,1647018540.0,149.0
